State/Union Territory,01-04-2023,01-05-2023,01-06-2023,01-07-2023,01-08-2023,01-09-2023,01-10-2023,01-11-2023,01-12-2023,01-01-2024,01-02-2024,01-03-2024,01-04-2024,01-05-2024,01-06-2024,01-07-2024,01-08-2024,01-09-2024,01-10-2024,01-11-2024,01-12-2024,01-01-2025,01-02-2025,01-03-2025,01-04-2025,01-05-2025,01-06-2025,01-07-2025,01-08-2025
Maharashtra,31311.61,21721.52,24271.46,24252.97,21447.03,23329.46,25422.57,23422.69,24789.91,26270.41,24992.16,25656.31,35422.97,24780.69,26826.07,27003.31,24354.9,24377.76,28820.29,27533.32,27194.08,29979.26,28273.44,29346.43,39276.6,29236.1,28247.96,28551.12,26745.71
Karnataka,13154.15,9067.17,9810.31,10056.34,9701.58,10405.05,10473.99,10610.12,10425.29,11995.45,11132.39,11582.34,14403.18,10661.86,10847.62,11377.21,10890.12,11083.58,11630.31,12209.51,11150.07,12912.87,12402.76,12200.47,16547.88,12952.33,11784.49,12408.33,12512.23
Goa,615.09,519.34,476.2,524.05,507.33,493.97,526.46,500.4,549.79,581.52,577.17,561.42,760.39,515.16,541.47,590.23,528.38,515.85,554.95,556.33,575.03,689.71,596.23,676.42,799.58,582.2,546.74,583.74,543.24
Lakshadweep,2.82,2.08,21.86,2.35,3.44,1.6,1.49,0.41,3.77,1.41,1.91,2.22,1.21,1.27,0.79,1.17,1.91,1.38,1.29,5,1.74,1.35,0.86,2.83,4.68,6.92,1.08,0.56,0.65
Kerala,2996.45,2294.11,2721.74,2378.89,2303.9,2501.8,2414.47,2510.83,2452.47,2767.85,2682.92,2594.91,3265.33,2587.59,2611.82,2488.65,2505.28,2670.59,2892.65,2757.31,2568.45,2970.32,2881.41,2823.8,3420.45,3204.88,2849.7,2710.95,2716.78
Tamil Nadu,10661.04,8283.47,8881.33,9246.14,8753.63,9696.89,9979.82,9610.47,9237.84,8957.79,9037.9,10235.96,11417.66,9028.72,9493.41,9656.92,9478.5,10155.81,10317.53,10326.46,10158.48,10724.98,10020.86,11066.63,12995.79,11581.62,9962.82,10536.31,10328.98
Puducherry,217.8,202.2,210.17,215.28,230.92,195.55,210.44,227.24,231.34,235.36,230.51,220.93,244.43,238.15,242.5,224.05,233.25,224.37,251.11,228.63,225.48,239.38,250.05,250.6,265.85,273.78,240.07,244.3,225.06
Andaman and Nicobar Islands,91.84,30.27,35.85,30.7,21.2,23.14,28.6,30.89,28.28,34.45,38.94,32.15,64.5,36.52,30.85,39.12,27.27,28.59,27.76,31.98,48.16,43.42,51.46,51.25,77.99,52.86,31.99,51.39,36.8
Telangana,5079.24,3943.58,4143.92,4287.13,3917.18,4714.26,4326.17,4469.42,4195.73,4855.97,4623.38,4837.26,5674.01,4452.48,4165.77,4400.31,4149.14,4724.58,4743.12,4664.53,4681.21,5415.43,4701.57,4865.98,6376,4750.06,4547.68,4871.08,4612.11
Andhra Pradesh,4075.05,3060.09,3251.51,3352.73,3179.57,3345.66,3090.8,3725.15,3225.71,3327.37,3430.27,3836.22,4551.53,3630.69,3398.03,3109.82,3084.46,3253.71,3573.68,3423.24,3107.02,3482.06,3569.36,3797.74,4443.91,3595.66,3378.14,3532.26,3710.06
Ladakh,67.58,26.37,14.56,22.57,26.62,34.87,42.91,62.27,57.66,49.11,34.69,41.24,69.46,15.49,22.26,37.58,32.67,43.52,56.17,66.35,64.67,68.08,18.76,48.23,71.57,29.28,27.97,41.9,34.94
Other Territory,219.74,200.69,227.41,225.66,184.44,206.56,304.03,221.5,226.84,198.08,203.83,196.18,224.63,207.41,206.81,220.44,198.96,223.32,190.59,172.34,195.96,197.11,214.44,220.86,261.35,212.05,227.82,212.32,199.54
OIDAR,186.81,187.46,179.62,209.19,193.02,195.88,199.81,222.66,243.18,236.72,231.93,220.43,221.06,244.59,249.19,237.81,287.53,261.3,265.98,286.39,308.42,284.23,336.34,291.83,299.58,323.78,317.09,310.98,396.32
